ID;COMMODITY;SITE_NAME;COMPANY_NA;STATE_LOCA;COUNTY;LATITUDE;LONGITUDE;PLANT_MIN
1829;Crushed Stone;Chestertown Quarry;Peckham Materials Corp.;New York;Warren;436317;-738022;M/P
1830;Crushed Stone;Hadeka Quarry & Mill;A A Hadeka Slate Co., Inc.;New York;Washington;4351427;-7325677;M/P
1831;Crushed Stone;Hudson Falls Quarry;Peckham Materials Corp.;New York;Washington;433491;-735708;M/P
1832;Crushed Stone;Walworth Quarry;Dolomite Products, Inc.;New York;Wayne;431675;-773191;M/P
1833;Crushed Stone;Butler P-5;Hanson Aggregates New York, Inc.;New York;Wayne;432119;-76742;M/P
1834;Crushed Stone;Burlington Quarry (#624);Martin Marietta Aggregates;North Carolina;Alamance;360542;-795136;M/P
1835;Crushed Stone;Haw River Quarry (#639);Martin Marietta Aggregates;North Carolina;Alamance;3609743;-7935818;M/P
1836;Crushed Stone;East Alamance Quarry (#665);Martin Marietta Aggregates;North Carolina;Alamance;3613513;-7935066;M/P
1837;Crushed Stone;Smethport Quarry;Cardinal Stone Co.;North Carolina;Ashe;364472;-814972;M/P
1838;Crushed Stone;Enka Quarry (#107);Vulcan Materials Co.;North Carolina;Buncombe;3554379;-8266909;M/P
1839;Crushed Stone;Grove Stone Quarry;B. V, Hendrick Gravel & Sand Co.;North Carolina;Buncombe;355875;-825194;M/P
1840;Crushed Stone;North Buncombe Quarry;B. V. Hedrick Gravel & Sand Co.;North Carolina;Buncombe;3568;-8284805;M/P
1841;Crushed Stone;Morganton Quarry (#147);Vulcan Materials Co.;North Carolina;Burke;357668;-8165815;M/P
1842;Crushed Stone;Carswell Quarry;Burke County Stone, Inc.;North Carolina;Burke;358245;-817865;M/P
1843;Crushed Stone;Gold Hill Quarry (#150 );Vulcan Materials Co.;North Carolina;Cabarrus;3550474;-8033142;M/P
1844;Crushed Stone;Cabarrus Quarry (#145);Vulcan Materials Co.;North Carolina;Cabarrus;3540367;-8070145;M/P
1845;Crushed Stone;Rocky River Quarry (#663);Martin Marietta Aggregates;North Carolina;Cabarrus;353783;-806948;M/P
1846;Crushed Stone;Lenoir Quarry (#146);Vulcan Materials Co.;North Carolina;Caldwell;3593226;-8148477;M/P
1847;Crushed Stone;Caldwell Quarry (#245);Martin Marietta Aggregates;North Carolina;Caldwell;359711;-816989;M/P
1848;Crushed Stone;Shelton Quarry (#104);Vulcan Materials Co.;North Carolina;Caswell;3653962;-7945993;M/P
1849;Crushed Stone;Hickory Quarry (#616);Martin Marietta Aggregates;North Carolina;Catawba;357289;-813047;M/P
1850;Crushed Stone;Maiden (#303);Martin Marietta Aggregates;North Carolina;Catawba;355866;-812414;M/P
1851;Crushed Stone;Siler City Quarry (#577);Martin Marietta Aggregates;North Carolina;Chatham;356676;-793794;M/P
1852;Crushed Stone;Hayesville Quarry;Harrison Construction Co.;North Carolina;Clay;349982;-83855;M/P
1853;Crushed Stone;Kings Mountain Quarry (#606);Martin Marietta Aggregates;North Carolina;Cleveland;352214;-813536;M/P
1854;Crushed Stone;Clark Site (#623);Martin Marietta Aggregates;North Carolina;Craven;351483;-771517;M/P
1855;Crushed Stone;Thomasville Quarry (#635);Martin Marietta Aggregates;North Carolina;Davidson;358639;-801361;M/P
1856;Crushed Stone;Smith Grove Quarry (#158);Vulcan Materials Co.;North Carolina;Davie;3596191;-8052991;M/P
1857;Crushed Stone;Rougemount Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Durham;360692;-788898;M/P
1858;Crushed Stone;Rocky Mount Ii Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Edgecombe;35975;-777375;M/P
1859;Crushed Stone;North Quarry (#101);Vulcan Materials Co.;North Carolina;Forsyth;3618041;-8026662;M/P
1860;Crushed Stone;East Forsyth Quarry (#111);Vulcan Materials Co.;North Carolina;Forsyth;3602456;-8006108;M/P
1861;Crushed Stone;Salem Stone Quarry (#678);Martin Marietta Aggregates;North Carolina;Forsyth;360382;-801083;M/P
1862;Crushed Stone;Franklin Quarry (#523);Martin Marietta Aggregates;North Carolina;Franklin;361074;-784607;M/P
1863;Crushed Stone;Bessemer City Quarry (#617);Martin Marietta Aggregates;North Carolina;Gaston;353456;-813147;M/P
1864;Crushed Stone;Butner Plant;Carolina Sunrock, Llc.;North Carolina;Granville;36115;-787617;M/P
1865;Crushed Stone;Central Rock Quarry (#602);Martin Marietta Aggregates;North Carolina;Guilford;360092;-797528;M/P
1866;Crushed Stone;Jamestown Quarry (#615);Martin Marietta Aggregates;North Carolina;Guilford;359608;-799192;M/P
1867;Crushed Stone;Pomona Quarry (#619);Martin Marietta Aggregates;North Carolina;Guilford;360547;-799258;M/P
1868;Crushed Stone;Hicon Quarry (#633);Martin Marietta Aggregates;North Carolina;Guilford;361639;-797053;M/P
1869;Crushed Stone;Stokesdale Quarry (#103);Vulcan Materials Co.;North Carolina;Guilford;3624153;-7993309;M/P
1870;Crushed Stone;Gardner Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Harnett;353611;-788361;M/P
1871;Crushed Stone;Waynesvill Quarry;Harrison Construction Co.;North Carolina;Haywood;354239;-830119;M/P
1872;Crushed Stone;Fletcher Quarry;Fletcher Limestone Co., Inc.;North Carolina;Henderson;354242;-825228;M/P
1873;Crushed Stone;Hendersonville Quarry (#157);Vulcan Materials Co.;North Carolina;Henderson;3536431;-8245331;M/P
1874;Crushed Stone;Green River Quarry (#159);Vulcan Materials Co.;North Carolina;Henderson;3524891;-824015;M/P
1875;Crushed Stone;Statesville Quarry (#628);Martin Marietta Aggregates;North Carolina;Iredell;358039;-809217;M/P
1876;Crushed Stone;Dillsboro Quarry;Harrison Construction Co.;North Carolina;Jackson;353639;-832636;M/P
1877;Crushed Stone;Benson Quarry;Martin Marietta Aggregates;North Carolina;Johnston;3543156;-7852796;M/P
1878;Crushed Stone;Princeton Ii Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Johnston;354694;-781389;M/P
1879;Crushed Stone;Lemon Springs Quarry (#647);Martin Marietta Aggregates;North Carolina;Lee;354117;-792017;M/P
1880;Crushed Stone;Moncure Quarry;Wake Stone Corp.;North Carolina;Lee;356083;-791306;M/P
1881;Crushed Stone;Denver Quarry (#630);Martin Marietta Aggregates;North Carolina;Lincoln;355248;-810315;M/P
1882;Crushed Stone;Lake Norman Quarry;B. V. Hedrick Gravel & Sand Co.;North Carolina;Lincoln;354383;-810183;M/P
1883;Crushed Stone;Tubb Mill Quarry;Harrison Construction Co.;North Carolina;Macon;351589;-834294;M/P
1884;Crushed Stone;Mccrary Madison Quarry;Mccrary Stone Service, Inc.;North Carolina;Madison;3577317;-8261067;M/P
1885;Crushed Stone;Marion Pit;Johnson Paving Co., Inc.;North Carolina;Mcdowell;357106;-820408;M/P
1886;Crushed Stone;State Quarry;Explosives Supply Co., Inc.;North Carolina;Mcdowell;357842;-820458;M/P
1887;Crushed Stone;Cumberland Plant;Cumberland Gravel & Sand Co.;North Carolina;Mcdowell;356418;-8212109;M/P
1888;Crushed Stone;Arrowood Quarry (#643);Martin Marietta Aggregates;North Carolina;Mecklenburg;351081;-809219;M/P
1889;Crushed Stone;Mallard Creek Quarry (#660);Martin Marietta Aggregates;North Carolina;Mecklenburg;353217;-807183;M/P
1890;Crushed Stone;Matthews Quarry (#648);Martin Marietta Aggregates;North Carolina;Mecklenburg;351347;-807208;M/P
1891;Crushed Stone;Pineville Quarry (#110);Vulcan Materials Co.;North Carolina;Mecklenburg;351132;-8089699;M/P
1892;Crushed Stone;Clear Creek Quarry (#141);Vulcan Materials Co.;North Carolina;Mecklenburg;3522672;-8061822;M/P
1893;Crushed Stone;Charlotte Quarry (#618);Martin Marietta Aggregates;North Carolina;Mecklenburg;353015;-808683;M/P
1894;Crushed Stone;Spruce Pine Quarry (#148);Vulcan Materials Co.;North Carolina;Mitchell;3597003;-8209894;M/P
1895;Crushed Stone;Chatham/Reaves-White;Glendon Pyrophillite, Inc.;North Carolina;Moore;355047;-794253;M/P
1896;Crushed Stone;Nash County Quarry;Wake Stone Corp.;North Carolina;Nash;360615;-778317;M/P
1897;Crushed Stone;Castle Hayne Quarry (#645);Martin Marietta Aggregates;North Carolina;New Hanover;343615;-778588;M/P
1898;Crushed Stone;Belgrade Quarry (#604);Martin Marietta Aggregates;North Carolina;Onslow;348769;-772303;M/P
1899;Crushed Stone;Onslow Quarry (#679);Martin Marietta Aggregates;North Carolina;Onslow;3486;-775756;M/P
1900;Crushed Stone;American Stone Co. Quarry (#600);Martin Marietta Aggregates;North Carolina;Orange;359289;-791464;M/P
1901;Crushed Stone;Rocky Point Quarry (#609);Martin Marietta Aggregates;North Carolina;Pender;34425;-778683;M/P
1902;Crushed Stone;Fountain Quarry (#634);Martin Marietta Aggregates;North Carolina;Pitt;356706;-776308;M/P
1903;Crushed Stone;Mill Spring Quarry;Thompson Contractors, Inc.;North Carolina;Polk;353562;-821898;M/P
1904;Crushed Stone;Asheboro Quarry (#636);Martin Marietta Aggregates;North Carolina;Randolph;357597;-798247;M/P
1905;Crushed Stone;Rockingham Quarry (#112);Vulcan Materials Co.;North Carolina;Richmond;3496122;-7961887;M/P
1906;Crushed Stone;Reidsville Quarry (#627);Martin Marietta Aggregates;North Carolina;Rockingham;363739;-797225;M/P
1907;Crushed Stone;Woodleaf Quarry (#611);Martin Marietta Aggregates;North Carolina;Rowan;357681;-80615;M/P
1908;Crushed Stone;Kannapolis Quarry (#607);Martin Marietta Aggregates;North Carolina;Rowan;355167;-805958;M/P
1909;Crushed Stone;Miller Creek Quarry;Thompson Contractors, Inc.;North Carolina;Rutherford;353578;-820106;M/P
1910;Crushed Stone;Surry Mine;Ararat Rock Products Co.;North Carolina;Surry;364569;-805972;M/P
1911;Crushed Stone;Elkin Quarry (#106);Vulcan Materials Co.;North Carolina;Surry;3625903;-8081396;M/P
1912;Crushed Stone;Hewitt Quarry;Nantahala Talc & Limestone Co., Inc.;North Carolina;Swain;353094;-835144;M/P
1913;Crushed Stone;Penrose Quarry;Macon Construction, Inc.;North Carolina;Transylvania;352764;-826425;M/P
1914;Crushed Stone;Whitewater Quarry #1;L. B. M. Industry, Inc.;North Carolina;Transylvania;35095;-829725;M/P
1915;Crushed Stone;Bakers Quarry (#608);Martin Marietta Aggregates;North Carolina;Union;350322;-806081;M/P
1916;Crushed Stone;Greystone Quarry (#105);Vulcan Materials Co.;North Carolina;Vance;3635848;-7834972;M/P
1917;Crushed Stone;Garner Quarry (#632);Martin Marietta Aggregates;North Carolina;Wake;357053;-785786;M/P
1918;Crushed Stone;Fuquay Quarry (#661);Martin Marietta Aggregates;North Carolina;Wake;358011;-785072;M/P
1919;Crushed Stone;Crabtree Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Wake;358467;-787164;M/P
1920;Crushed Stone;Raleigh Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Wake;359289;-785483;M/P
1921;Crushed Stone;Knightdale Quarry;Wake Stone Corp.;North Carolina;Wake;357944;-784958;M/P
1922;Crushed Stone;Triangle Quarry;Wake Stone Corp.;North Carolina;Wake;358348;-787682;M/P
1923;Crushed Stone;Raleigh-Durham Quarry;Martin Marietta Aggregates;North Carolina;Wake;358542;-787458;M/P
1924;Crushed Stone;Holly Springs Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Wake;356025;-788774;M/P
1925;Crushed Stone;Boone Quarry (#149);Vulcan Materials Co.;North Carolina;Watauga;3620547;-8171504;M/P
1926;Crushed Stone;115 Quarry (#108);Vulcan Materials Co.;North Carolina;Wilkes;3610735;-810998;M/P
1927;Crushed Stone;Neverson Quarry;Hanson Aggregates Southeast, Inc.;North Carolina;Wilson;357664;-780878;M/P
1928;Crushed Stone;Low Gap Quarry;Yancey Stone, Inc.;North Carolina;Yancey;359963;-822242;M/P
1929;Crushed Stone;Plum Run Stone;Hanson Aggregates Davon, Inc.;Ohio;Adams;389422;-833675;M/P
1930;Crushed Stone;Limestone Operation;The Bluffton Stone Co.;Ohio;Allen;408939;-838844;M/P
1931;Crushed Stone;Lima Quarry;National Lime & Stone Co.;Ohio;Allen;407531;-841047;M/P
1932;Crushed Stone;Suever Stone Quarry;Suever Stone Co.;Ohio;Allen;407781;-84315;M/P
1933;Crushed Stone;Diamond Stone;Waterloo Coal Co., Inc.;Ohio;Athens;39215;-822411;M/P
1934;Crushed Stone;Buckland Quarry;National Lime & Stone Co.;Ohio;Auglaize;406169;-842683;M/P
1935;Crushed Stone;Con-Ag Crushed Stone Operation;Con-Ag, Inc.;Ohio;Auglaize;405895;-843772;M/P
1936;Crushed Stone;Ayers Quarry;Ayers Limestone Quarry, Inc.;Ohio;Belmont;401033;-807536;M/P
1937;Crushed Stone;Bellaire Stone;Sidwell Materials Inc.;Ohio;Belmont;400448;-808415;M/P
1938;Crushed Stone;Uniontown Stone;Sidwell Materials, Inc.;Ohio;Belmont;401338;-809898;M/P
1939;Crushed Stone;Eagle Crushed Stone;Hanson Aggregates Davon, Inc.;Ohio;Brown;389363;-837882;M/P
1940;Crushed Stone;Melvin Plant;The Melvin Stone Co., Llc.;Ohio;Clinton;394769;-837317;M/P
1941;Crushed Stone;Bucyrus Plant;National Lime & Stone Co.;Ohio;Crawford;408611;-830628;M/P
1942;Crushed Stone;Walls Materials Pl 2;Walls Materials;Ohio;Darke;400131;-846619;M/P
1943;Crushed Stone;Delaware Quarry;National Lime & Stone Co.;Ohio;Delaware;403742;-829636;M/P
1944;Crushed Stone;Penry Quarry;Penry Stone Co.;Ohio;Delaware;403872;-831531;M/P
1945;Crushed Stone;Kelleys Island;Lafarge North America, Inc.;Ohio;Erie;416029;-827257;M/P
1946;Crushed Stone;Sandusky Quarry;Hanson Aggregates Midwest, Inc.;Ohio;Erie;413325;-827836;M/P
1947;Crushed Stone;Wagner Quarries;Hanson Aggregates Midwest, Inc.;Ohio;Erie;414097;-826775;M/P
1948;Crushed Stone;Erie Materials, Inc.;Erie Materials, Inc.;Ohio;Erie;414172;-827737;M/P
1949;Crushed Stone;Blue Rock Plant (#342);Martin Marietta Aggregates;Ohio;Fayette;393908;-833847;M/P
1950;Crushed Stone;Marble Cliff (#323);Martin Marietta Aggregates;Ohio;Franklin;400056;-8309;M/P
1951;Crushed Stone;Columbus Limestone (#321);Martin Marietta Aggregates;Ohio;Franklin;398964;-830133;M/P
1952;Crushed Stone;Fairborn Limestone Quarry;Cemex, Inc.;Ohio;Greene;3982;-840283;M/P
1953;Crushed Stone;Bowersville Plant;The Melvin Stone Co., Llc.;Ohio;Greene;3957909;-8372795;M/P
1954;Crushed Stone;Cedarville (#341);Martin Marietta Aggregates;Ohio;Greene;397361;-83788;M/P
1955;Crushed Stone;Guernsey Crushed Stone Operation;King Limestone, Inc.;Ohio;Guernsey;398906;-816708;M/P
1956;Crushed Stone;Rumpke Mountain Mining;Rumpke Consolidated Co.;Ohio;Hamilton;392756;-84597;M/P
1957;Crushed Stone;Findlay Quarry;National Lime & Stone Co.;Ohio;Hancock;410164;-836728;M/P
1958;Crushed Stone;Hardin Quarry;Shelly Materials, Inc.;Ohio;Hardin;407139;-836408;M/P
1959;Crushed Stone;Highland Stone;Hanson Aggregates Davon, Inc.;Ohio;Highland;391972;-837267;M/P
1960;Crushed Stone;Hillsboro Mill & Quarry;Ohio Asphaltic Limestone Corp.;Ohio;Highland;392494;-836808;M/P
1961;Crushed Stone;Lynchburg Quarry (#459);Martin Marietta Aggregates;Ohio;Highland;39247;-83682;M/P
1962;Crushed Stone;Zoar Quarry;Waterloo Coal Co., Inc.;Ohio;Jackson;389508;-825564;M/P
1963;Crushed Stone;Apex Limestone;Apex Energy, Inc.;Ohio;Jefferson;404561;-809277;M/P
1964;Crushed Stone;Keeney Sand & Stone;Keeney Sand & Stone, Inc.;Ohio;Lake;416685;-811592;M/P
1965;Crushed Stone;Duff Quarry #1;C. E. Duff & Son, Inc.;Ohio;Logan;404872;-838056;M/P
1966;Crushed Stone;Belle Center Quarry;Shelly Materials, Inc.;Ohio;Logan;404778;-837439;M/P
1967;Crushed Stone;Waterville Quarry;Hanson Aggregates Midwest, Inc.;Ohio;Lucas;414786;-837531;M/P
1968;Crushed Stone;Maumee Plant;Stoneco, Inc.;Ohio;Lucas;415686;-836733;M/P
1969;Crushed Stone;Sylvania Quarry;Hanson Aggregates Midwest, Inc.;Ohio;Lucas;416811;-837408;M/P
1970;Crushed Stone;Sylvania Quarry;Hanson Aggregates Midwest, Inc.;Ohio;Lucas;416867;-837441;M/P
1971;Crushed Stone;Seaway Sand & Stone;Seaway Sand & Stone, Inc.;Ohio;Lucas;415961;-838119;M/P
1972;Crushed Stone;Petersburg Mine;The East Fairfield Coal Co.;Ohio;Mahoning;409892;-8066727;M/P
1973;Crushed Stone;Mahoning Quarry;The Honey Creek Stone Co.;Ohio;Mahoning;409283;-805344;M/P
1974;Crushed Stone;Petersburg Plant;Lafarge North America, Inc.;Ohio;Mahoning;409282;-805395;M/P
1975;Crushed Stone;Marion Quarry;National Lime & Stone Co.;Ohio;Marion;406544;-831206;M/P
1976;Crushed Stone;N Kenton;Shelly Materials, Inc.;Ohio;Marion;4068;-83415;M/P
1977;Crushed Stone;Celina Quarry;Stoneco, Inc.;Ohio;Mercer;405319;-846558;M/P
1978;Crushed Stone;Walls Materials Plant #1;Walls Materials;Ohio;Mercer;407081;-846686;M/P
1979;Crushed Stone;Piqua Materials;Piqua Materials, Inc.;Ohio;Miami;4013;-842319;M/P
1980;Crushed Stone;Bradford Quarry;C. F. Poeppelman, Inc.;Ohio;Miami;401092;-844247;M/P
1981;Crushed Stone;Ludlow Stone Quarry;Barrett Paving Materials, Inc.;Ohio;Miami;399853;-843492;M/P
1982;Crushed Stone;Christman Quarry;Gerald L. Christman;Ohio;Monroe;397869;-813039;M/P
1983;Crushed Stone;Phillipsburg Plant (#339);Martin Marietta Aggregates;Ohio;Montgomery;3989;-843961;M/P
1984;Crushed Stone;Huber Heights (#344);Martin Marietta Aggregates;Ohio;Montgomery;398337;-841622;M/P
1985;Crushed Stone;Fultonham Plant #1;Shelly Materials, Inc.;Ohio;Muskingum;398353;-821372;M/P
1986;Crushed Stone;Zanesville Quarry;Sidwell Materials, Inc.;Ohio;Muskingum;398792;-820736;M/P
1987;Crushed Stone;Sharon Stone Quarry;Sharon Stone Co.;Ohio;Noble;396862;-814828;M/P
1988;Crushed Stone;Rocky Ridge Quarry;Stoneco, Inc.;Ohio;Ottawa;415439;-832609;M/P
1989;Crushed Stone;White Rock Quarry;White Rock Quarry, Llc.;Ohio;Ottawa;415803;-833667;M/P
1990;Crushed Stone;Marblehead Limestone Quarry;Lafarge North America, Inc.;Ohio;Ottawa;415256;-827253;M/P
1991;Crushed Stone;Genoa Quarry;Graymont Dolime (Oh), Inc.;Ohio;Ottawa;415121;-833511;M/P
1992;Crushed Stone;Rocky Ridge Quarry;Stoneco, Inc.;Ohio;Ottawa;415575;-832214;M/P
1993;Crushed Stone;Plant 303;Sylvester Material Co., Inc.;Ohio;Ottawa;4150882;-8335443;M/P
1994;Crushed Stone;Port Clinton Stone Yard;Gerken Materials, Inc.;Ohio;Ottawa;415026;-828876;M/P
1995;Crushed Stone;Paulding Quarry Peninsular;Lafarge North America, Inc.;Ohio;Paulding;4118;-847417;M/P
1996;Crushed Stone;Auglaize Quarry;Stoneco, Inc.;Ohio;Paulding;411586;-844231;M/P
1997;Crushed Stone;Paulding Stone Quarry;Hanson Aggregates Midwest, Inc.;Ohio;Paulding;411967;-845844;M/P
1998;Crushed Stone;Maxville Quarry;Maxville Quarries, Inc.;Ohio;Perry;396183;-823364;M/P
1999;Crushed Stone;Williamsport Plant;Melvin Stone Co. Llc.;Ohio;Pickaway;395956;-831397;M/P
2000;Crushed Stone;Latham Quarry;Latham Limestone, Llc.;Ohio;Pike;390983;-832625;M/P
2001;Crushed Stone;Wysong Quarry;Wysong Stone Co.;Ohio;Preble;398275;-845411;M/P
2002;Crushed Stone;Rimer Quarry;National Lime & Stone Co.;Ohio;Putnam;408853;-842056;M/P
2003;Crushed Stone;Ottawa Quarry;Putnam Stone Co., Inc.;Ohio;Putnam;409961;-839789;M/P
2004;Crushed Stone;Plano Rd. Quarry;Melvin Stone Co., Llc.;Ohio;Ross;3945089;-8323369;M/P
2005;Crushed Stone;Millersville Plant;Carmeuse Lime, Inc.;Ohio;Sandusky;413136;-832814;M/P
2006;Crushed Stone;Precision Aggregates;Precision Aggregates Iii, Llc.;Ohio;Sandusky;413383;-831467;M/P
2007;Crushed Stone;Bloomville Stone Quarry;Hanson Aggregates Midwest, Inc.;Ohio;Seneca;410564;-829767;M/P
2008;Crushed Stone;Flat Rock Quarry;Hanson Aggregates Midwest, Inc.;Ohio;Seneca;412292;-82875;M/P
2009;Crushed Stone;Maple Grove Stone;Mgq, Inc.;Ohio;Seneca;412279;-832007;M/P
2010;Crushed Stone;Sidney Quarry;Miami River Stone Co.;Ohio;Shelby;402111;-842067;M/P
2011;Crushed Stone;Vandermark Quarry (#221);Spring Creek Gravel Co.;Ohio;Shelby;402674;-842474;M/P
2012;Crushed Stone;Kimble Clay & Limestone Quarry;Kimble Clay & Limestone;Ohio;Tuscarawas;405006;-815311;M/P
2013;Crushed Stone;York Center;Shelly Materials, Inc.;Ohio;Union;404103;-834511;M/P
2014;Crushed Stone;Ostrander;Shelly Materials, Inc.;Ohio;Union;40265;-832531;M/P
2015;Crushed Stone;Suever Stone Plant;Suever Stone Co.;Ohio;Van Wert;408383;-8435;M/P
2016;Crushed Stone;Scott Quarry;Stoneco, Inc.;Ohio;Van Wert;409572;-846322;M/P
2017;Crushed Stone;Clinton Stone Quarry;Clinton Stone, Inc.;Ohio;Vinton;391675;-824522;M/P
2018;Crushed Stone;Route 32 Pit;Jaymar Quality Stone Co.;Ohio;Vinton;393742;-824046;M/P
2019;Crushed Stone;Macritchie Materials;Macritchie Materials, Inc.;Ohio;Wood;412494;-834889;M/P
2020;Crushed Stone;Lime City Plant;Stoneco, Inc.;Ohio;Wood;415375;-835586;M/P
2021;Crushed Stone;Custar Stone Quarry;Custar Stone Co.;Ohio;Wood;413278;-8388;M/P
2022;Crushed Stone;Plant #2;Precision Aggregate Ii, Llc.;Ohio;Wood;413543;-8364;M/P
2023;Crushed Stone;Upper Sandusky Plant;The Olen Corp.;Ohio;Wyandot;407792;-832206;M/P
2024;Crushed Stone;Carey #1 & #2 Quarries;National Lime & Stone Co.;Ohio;Wyandot;409516;-833837;M/P
2025;Crushed Stone;Carey Quarry;Wyandot Dolomite, Inc.;Ohio;Wyandot;409869;-8337;M/P
2026;Crushed Stone;Stringtown Materials;Springtown Materials, Lp;Oklahoma;Atoka;34475;-9605;M/P
2027;Crushed Stone;Coleman Rock Quarry;The Dolese Bros. Co.;Oklahoma;Atoka;342522;-962528;M/P
2028;Crushed Stone;Crushed Stone Operation;Lattimore Materials Co.;Oklahoma;Atoka;3413002;-9624361;M/P
2029;Crushed Stone;Ttexoma Materials;Texoma Materials;Oklahoma;Bryan;3413509;-9608546;M/P
2030;Crushed Stone;Cyril Rock Quarry;The Dolese Bros. Co.;Oklahoma;Caddo;349333;-982;M/P
2031;Crushed Stone;Ardmore Quarry;The Dolese Bros. Co.;Oklahoma;Carter;340925;-971862;M/P
2032;Crushed Stone;Arkhola-Roberts Quarry;Arkhola Sand & Gravel Co.;Oklahoma;Cherokee;358053;-95047;M/P
2033;Crushed Stone;Hugo Quarry (#705 );Martin Marietta Aggregates;Oklahoma;Choctaw;340625;-955333;M/P
2034;Crushed Stone;Sawyer Quarry (#715);Martin Marietta Aggregates;Oklahoma;Choctaw;3412048;-9537336;M/P
2035;Crushed Stone;Richards Spur Rock Quarry;The Dolese Bros. Co.;Oklahoma;Comanche;347667;-984167;M/P
2036;Crushed Stone;J-6 Mine;Apac Oklahoma, Inc.;Oklahoma;Craig;366272;-951606;M/P
2037;Crushed Stone;Drumright Quarry;The Quapaw Co.;Oklahoma;Creek;359783;-96532;M/P
2038;Crushed Stone;Chapel Rose Granite;Chapel Rose Quarries, Inc.;Oklahoma;Greer;3498098;-9938017;M/P
2039;Crushed Stone;Tiger Rock Pit;Tiger Rock, Inc.;Oklahoma;Haskell;352388;-9535318;M/P
2040;Crushed Stone;Barbee Quarry;Stigler Stone Co., Inc.;Oklahoma;Haskell;3523886;-9535318;M/P
2041;Crushed Stone;Telluride Quarry;Western Plains Resources, Inc.;Oklahoma;Haskell;3526473;-9503875;M/P
2042;Crushed Stone;Mill Creek Quarry (#755);Martin Marietta Aggregates;Oklahoma;Johnston;343685;-968193;M/P
2043;Crushed Stone;Troy Quarry (#743);Martin Marietta Aggregates;Oklahoma;Johnston;343249;-968367;M/P
2044;Crushed Stone;Txi Mill Creek Quarry;Texas Industries, Inc.;Oklahoma;Johnston;343544;-968444;M/P
2045;Crushed Stone;Cooperton Rock Quarry;The Dolese Bros. Co.;Oklahoma;Kiowa;349333;-988;M/P
2046;Crushed Stone;Snyder Quarry (#761);Martin Marietta Aggregates;Oklahoma;Kiowa;346449;-9904429;M/P
2047;Crushed Stone;West Shady Point Quarry;Rock Producers, Inc.;Oklahoma;Le Flore;3513083;-9470883;M/P
2048;Crushed Stone;Willis Quarry (#720);Martin Marietta Aggregates;Oklahoma;Marshall;339328;-9682169;M/P
2049;Crushed Stone;Pryor Stone #2 Pit;Pryor Stone, Inc.;Oklahoma;Mayes;362583;-950167;M/P
2050;Crushed Stone;Lone Star Pryor Quarry;Lone Star Industries, Inc.;Oklahoma;Mayes;3627;-9512149;M/P
2051;Crushed Stone;Idabel Quarry (#711);Martin Marietta Aggregates;Oklahoma;Mccurtain;341042;-947667;M/P
2052;Crushed Stone;Idabel Quarry;Quality Rock, Inc.;Oklahoma;Mccurtain;339464;-9485208;M/P
2053;Crushed Stone;Eufaula No 50;Youngman Rock, Inc.;Oklahoma;Mcintosh;353833;-9555;M/P
2054;Crushed Stone;Davis Rock Quarry;The Dolese Bros. Co.;Oklahoma;Murray;344667;-972;M/P
2055;Crushed Stone;Davis Quarry (#780);Martin Marietta Aggregates;Oklahoma;Murray;344995;-9725563;M/P
2056;Crushed Stone;Davis Stone Quarry;Hanson Aggregates Central, Inc.;Oklahoma;Murray;344849;-972036;M/P
2057;Crushed Stone;Bellco #1;Bellco Materials, Inc.;Oklahoma;Nowata;3670618;-9556631;M/P
2058;Crushed Stone;Bellco Quarry #4;Bellco Materials, Inc.;Oklahoma;Osage;366708;-964111;M/P
2059;Crushed Stone;Mile-R-More Quarry;Kemp Stone Co., Inc.;Oklahoma;Ottawa;367521;-9481478;M/P
2060;Crushed Stone;Quarry #32;Midwest Minerals, Inc.;Oklahoma;Ottawa;3693627;-947784;M/P
2061;Crushed Stone;Pawnee Quarry;The Quapaw Co.;Oklahoma;Pawnee;363404;-967946;M/P
2062;Crushed Stone;Stewart Stone Dallas;Stewart Stone, Inc.;Oklahoma;Pawnee;3617;-964;M/P
2063;Crushed Stone;Ripley Quarry;Stewart Stone, Inc.;Oklahoma;Payne;3599534;-9683013;M/P
2064;Crushed Stone;Hartshorne Quarry;The Dolese Bros. Co.;Oklahoma;Pittsburg;348167;-9555;M/P
2065;Crushed Stone;Ada Quarry & Plant;Holcim (Us), Inc.;Oklahoma;Pontotoc;348733;-965933;M/P
2066;Crushed Stone;Ada Quarry & Plant;Holcim (Us), Inc.;Oklahoma;Pontotoc;347676;-967925;M/P
2067;Crushed Stone;Talihina Stone Plant;Talihina Stone Co, Inc.;Oklahoma;Pushmataha;346732;-9503355;M/P
2068;Crushed Stone;Tulsa Plant;Lafarge North America, Inc.;Oklahoma;Rogers;3619812;-9581378;M/P
2069;Crushed Stone;Bellco #2;Bellco Materials, Inc.;Oklahoma;Rogers;364292;-956;M/P
